Matrix,Rows,Columns,nnz,Kernel,Grid_Size,Block_Size,Avg_Time(ms),Avg_Err,GFLOP/s,Bandwidth(GB/s)
cop20k_A.mtx,121192,121192,2624331,csr vector,121192,32,0.288154,1.86648e-07,18.2148,72.5558
cop20k_A.mtx,121192,121192,2624331,coo seg,20503,32,0.11008,1.81054e-07,47.6804,274.638
cop20k_A.mtx,121192,121192,2624331,coo flat,41006,64,0.259584,1.21729e-07,20.2195,116.464
cop20k_A.mtx,121192,121192,2624331,csr scalar,1894,64,0.0816128,9.70613e-08,64.3118,256.176
cop20k_A.mtx,121192,121192,2624331,csr vector,60596,64,0.144794,1.86648e-07,36.2493,144.393
cop20k_A.mtx,121192,121192,2624331,coo seg,10252,64,0.0719872,1.81054e-07,72.911,419.965
cop20k_A.mtx,121192,121192,2624331,coo flat,27337,96,0.26409,1.13328e-07,19.8745,114.477
cop20k_A.mtx,121192,121192,2624331,csr scalar,1263,96,0.0802816,9.70613e-08,65.3781,260.424
cop20k_A.mtx,121192,121192,2624331,csr vector,40398,96,0.131891,1.86648e-07,39.7954,158.519
cop20k_A.mtx,121192,121192,2624331,coo seg,6835,96,0.0726016,1.81054e-07,72.294,416.411
cop20k_A.mtx,121192,121192,2624331,coo flat,20503,128,0.260506,1.15012e-07,20.148,116.052
cop20k_A.mtx,121192,121192,2624331,csr scalar,947,128,0.082944,9.70613e-08,63.2796,252.064
cop20k_A.mtx,121192,121192,2624331,csr vector,30298,128,0.12073,1.86648e-07,43.4745,173.174
cop20k_A.mtx,121192,121192,2624331,coo seg,5126,128,0.072192,1.81054e-07,72.7042,418.774
cop20k_A.mtx,121192,121192,2624331,coo flat,16403,160,0.267469,1.18675e-07,19.6235,113.031
cop20k_A.mtx,121192,121192,2624331,csr scalar,758,160,0.0872448,9.70613e-08,60.1602,239.639
